option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP
38.1 m / 125 ft,125FT,$17.84,$21.85,$17.43,$21.44,$22.24,$26.25,$27.66,$35.68,$32.06,$40.08,$36.06,$44.08,$25.46,$29.47,$28.86,$32.87,$29.86,$33.87,$46.71,$50.92,$51.11,$55.32,$55.11,$59.32,$25.46,$29.47,$28.86,$32.87,$29.86,$33.87,$46.71,$50.92,$51.11,$55.32,$55.11,$59.32,$21.45,$25.26,$24.05,$27.86,$25.05,$28.86,$42.90,$50.52,$48.10,$55.72,$50.10,$57.72
39.62 m / 130 ft,130FT,$18.45,$22.61,$17.89,$22.05,$22.85,$27.01,$28.57,$36.90,$32.97,$41.30,$36.97,$45.30,$26.37,$30.53,$29.77,$33.93,$30.77,$34.93,$48.38,$52.74,$52.78,$57.14,$56.78,$61.14,$26.37,$30.53,$29.77,$33.93,$30.77,$34.93,$48.38,$52.74,$52.78,$57.14,$56.78,$61.14,$22.21,$26.17,$24.81,$28.77,$25.81,$29.77,$44.42,$52.34,$49.62,$57.54,$51.62,$59.54
40 m / 131.23 ft,040M,$18.60,$22.80,$18.00,$22.20,$23.00,$27.20,$28.80,$37.20,$33.20,$41.60,$37.20,$45.60,$26.60,$30.80,$30.00,$34.20,$31.00,$35.20,$48.80,$53.20,$53.20,$57.60,$57.20,$61.60,$26.60,$30.80,$30.00,$34.20,$31.00,$35.20,$48.80,$53.20,$53.20,$57.60,$57.20,$61.60,$22.40,$26.40,$25.00,$29.00,$26.00,$30.00,$44.80,$52.80,$50.00,$58.00,$52.00,$60.00
42.67 m / 140 ft,140FT,$19.67,$24.14,$18.80,$23.27,$24.07,$28.54,$30.40,$39.34,$34.80,$43.74,$38.80,$47.74,$28.20,$32.67,$31.60,$36.07,$32.60,$37.07,$51.74,$56.40,$56.14,$60.80,$60.14,$64.80,$28.20,$32.67,$31.60,$36.07,$32.60,$37.07,$51.74,$56.40,$56.14,$60.80,$60.14,$64.80,$23.74,$28.00,$26.34,$30.60,$27.34,$31.60,$47.47,$56.00,$52.67,$61.20,$54.67,$63.20
45.72 m / 150 ft,150FT,$20.89,$25.66,$19.72,$24.49,$25.29,$30.06,$32.23,$41.78,$36.63,$46.18,$40.63,$50.18,$30.03,$34.80,$33.43,$38.20,$34.43,$39.20,$55.09,$60.06,$59.49,$64.46,$63.49,$68.46,$30.03,$34.80,$33.43,$38.20,$34.43,$39.20,$55.09,$60.06,$59.49,$64.46,$63.49,$68.46,$25.26,$29.83,$27.86,$32.43,$28.86,$33.43,$50.52,$59.66,$55.72,$64.86,$57.72,$66.86
48.76 m / 160 ft,160FT,$22.10,$27.18,$20.63,$25.70,$26.50,$31.58,$34.06,$44.21,$38.46,$48.61,$42.46,$52.61,$31.86,$36.93,$35.26,$40.33,$36.26,$41.33,$58.44,$63.71,$62.84,$68.11,$66.84,$72.11,$31.86,$36.93,$35.26,$40.33,$36.26,$41.33,$58.44,$63.71,$62.84,$68.11,$66.84,$72.11,$26.78,$31.66,$29.38,$34.26,$30.38,$35.26,$53.56,$63.31,$58.76,$68.51,$60.76,$70.51
50 m / 164.04 ft,050M,$22.60,$27.80,$21.00,$26.20,$27.00,$32.20,$34.80,$45.20,$39.20,$49.60,$43.20,$53.60,$32.60,$37.80,$36.00,$41.20,$37.00,$42.20,$59.80,$65.20,$64.20,$69.60,$68.20,$73.60,$32.60,$37.80,$36.00,$41.20,$37.00,$42.20,$59.80,$65.20,$64.20,$69.60,$68.20,$73.60,$27.40,$32.40,$30.00,$35.00,$31.00,$36.00,$54.80,$64.80,$60.00,$70.00,$62.00,$72.00
53.34 m / 175 ft,175FT,$23.94,$29.47,$22.00,$27.54,$28.34,$33.87,$36.80,$47.87,$41.20,$52.27,$45.20,$56.27,$34.60,$40.14,$38.00,$43.54,$39.00,$44.54,$63.47,$69.21,$67.87,$73.61,$71.87,$77.61,$34.60,$40.14,$38.00,$43.54,$39.00,$44.54,$63.47,$69.21,$67.87,$73.61,$71.87,$77.61,$29.07,$34.40,$31.67,$37.00,$32.67,$38.00,$58.14,$68.81,$63.34,$74.01,$65.34,$76.01
54.86 m / 180 ft,180FT,$24.54,$30.23,$22.46,$28.14,$28.94,$34.63,$37.72,$49.09,$42.12,$53.49,$46.12,$57.49,$35.52,$41.20,$38.92,$44.60,$39.92,$45.60,$65.15,$71.03,$69.55,$75.43,$73.55,$79.43,$35.52,$41.20,$38.92,$44.60,$39.92,$45.60,$65.15,$71.03,$69.55,$75.43,$73.55,$79.43,$29.83,$35.32,$32.43,$37.92,$33.43,$38.92,$59.66,$70.63,$64.86,$75.83,$66.86,$77.83
55 m / 180.44 ft,055M,$24.60,$30.30,$22.50,$28.20,$29.00,$34.70,$37.80,$49.20,$42.20,$53.60,$46.20,$57.60,$35.60,$41.30,$39.00,$44.70,$40.00,$45.70,$65.30,$71.20,$69.70,$75.60,$73.70,$79.60,$35.60,$41.30,$39.00,$44.70,$40.00,$45.70,$65.30,$71.20,$69.70,$75.60,$73.70,$79.60,$29.90,$35.40,$32.50,$38.00,$33.50,$39.00,$59.80,$70.80,$65.00,$76.00,$67.00,$78.00
60.96 m / 200 ft,200FT,$26.98,$33.28,$24.29,$30.58,$31.38,$37.68,$41.38,$53.97,$45.78,$58.37,$49.78,$62.37,$39.18,$45.47,$42.58,$48.87,$43.58,$49.87,$71.86,$78.35,$76.26,$82.75,$80.26,$86.75,$39.18,$45.47,$42.58,$48.87,$43.58,$49.87,$71.86,$78.35,$76.26,$82.75,$80.26,$86.75,$32.88,$38.98,$35.48,$41.58,$36.48,$42.58,$65.76,$77.95,$70.96,$83.15,$72.96,$85.15
65 m / 213.25 ft,065M,$28.60,$35.30,$25.50,$32.20,$33.00,$39.70,$43.80,$57.20,$48.20,$61.60,$52.20,$65.60,$41.60,$48.30,$45.00,$51.70,$46.00,$52.70,$76.30,$83.20,$80.70,$87.60,$84.70,$91.60,$41.60,$48.30,$45.00,$51.70,$46.00,$52.70,$76.30,$83.20,$80.70,$87.60,$84.70,$91.60,$34.90,$41.40,$37.50,$44.00,$38.50,$45.00,$69.80,$82.80,$75.00,$88.00,$77.00,$90.00
67.05 m / 220 ft,220FT,$29.42,$36.33,$26.12,$33.02,$33.82,$40.73,$45.03,$58.84,$49.43,$63.24,$53.43,$67.24,$42.83,$49.74,$46.23,$53.14,$47.23,$54.14,$78.56,$85.66,$82.96,$90.06,$86.96,$94.06,$42.83,$49.74,$46.23,$53.14,$47.23,$54.14,$78.56,$85.66,$82.96,$90.06,$86.96,$94.06,$35.93,$42.63,$38.53,$45.23,$39.53,$46.23,$71.85,$85.26,$77.05,$90.46,$79.05,$92.46
68.58 m / 225 ft,225FT,$30.03,$37.09,$26.57,$33.63,$34.43,$41.49,$45.95,$60.06,$50.35,$64.46,$54.35,$68.46,$43.75,$50.81,$47.15,$54.21,$48.15,$55.21,$80.24,$87.50,$84.64,$91.90,$88.64,$95.90,$43.75,$50.81,$47.15,$54.21,$48.15,$55.21,$80.24,$87.50,$84.64,$91.90,$88.64,$95.90,$36.69,$43.55,$39.29,$46.15,$40.29,$47.15,$73.38,$87.10,$78.58,$92.30,$80.58,$94.30
70 m / 229.65 ft,070M,$30.60,$37.80,$27.00,$34.20,$35.00,$42.20,$46.80,$61.20,$51.20,$65.60,$55.20,$69.60,$44.60,$51.80,$48.00,$55.20,$49.00,$56.20,$81.80,$89.20,$86.20,$93.60,$90.20,$97.60,$44.60,$51.80,$48.00,$55.20,$49.00,$56.20,$81.80,$89.20,$86.20,$93.60,$90.20,$97.60,$37.40,$44.40,$40.00,$47.00,$41.00,$48.00,$74.80,$88.80,$80.00,$94.00,$82.00,$96.00
73.15 m / 240 ft,240FT,$31.86,$39.38,$27.95,$35.46,$36.26,$43.78,$48.69,$63.72,$53.09,$68.12,$57.09,$72.12,$46.49,$54.01,$49.89,$57.41,$50.89,$58.41,$85.27,$92.98,$89.67,$97.38,$93.67,$101.38,$46.49,$54.01,$49.89,$57.41,$50.89,$58.41,$85.27,$92.98,$89.67,$97.38,$93.67,$101.38,$38.98,$46.29,$41.58,$48.89,$42.58,$49.89,$77.95,$92.58,$83.15,$97.78,$85.15,$99.78
76.20 m /  250 ft,250FT,$33.08,$40.90,$28.86,$36.68,$37.48,$45.30,$50.52,$66.16,$54.92,$70.56,$58.92,$74.56,$48.32,$56.14,$51.72,$59.54,$52.72,$60.54,$88.62,$96.64,$93.02,$101.04,$97.02,$105.04,$48.32,$56.14,$51.72,$59.54,$52.72,$60.54,$88.62,$96.64,$93.02,$101.04,$97.02,$105.04,$40.50,$48.12,$43.10,$50.72,$44.10,$51.72,$81.00,$96.24,$86.20,$101.44,$88.20,$103.44
79.24 m / 260 ft,260FT,$34.30,$42.42,$29.77,$37.90,$38.70,$46.82,$52.34,$68.59,$56.74,$72.99,$60.74,$76.99,$50.14,$58.27,$53.54,$61.67,$54.54,$62.67,$91.96,$100.29,$96.36,$104.69,$100.36,$108.69,$50.14,$58.27,$53.54,$61.67,$54.54,$62.67,$91.96,$100.29,$96.36,$104.69,$100.36,$108.69,$42.02,$49.94,$44.62,$52.54,$45.62,$53.54,$84.04,$99.89,$89.24,$105.09,$91.24,$107.09
80 m / 262.46 ft,080M,$34.60,$42.80,$30.00,$38.20,$39.00,$47.20,$52.80,$69.20,$57.20,$73.60,$61.20,$77.60,$50.60,$58.80,$54.00,$62.20,$55.00,$63.20,$92.80,$101.20,$97.20,$105.60,$101.20,$109.60,$50.60,$58.80,$54.00,$62.20,$55.00,$63.20,$92.80,$101.20,$97.20,$105.60,$101.20,$109.60,$42.40,$50.40,$45.00,$53.00,$46.00,$54.00,$84.80,$100.80,$90.00,$106.00,$92.00,$108.00
83.82 m / 275 ft,275FT,$36.13,$44.71,$31.15,$39.73,$40.53,$49.11,$55.09,$72.26,$59.49,$76.66,$63.49,$80.66,$52.89,$61.47,$56.29,$64.87,$57.29,$65.87,$97.00,$105.78,$101.40,$110.18,$105.40,$114.18,$52.89,$61.47,$56.29,$64.87,$57.29,$65.87,$97.00,$105.78,$101.40,$110.18,$105.40,$114.18,$44.31,$52.69,$46.91,$55.29,$47.91,$56.29,$88.62,$105.38,$93.82,$110.58,$95.82,$112.58
85.34 m / 280 ft,280FT,$36.74,$45.47,$31.60,$40.34,$41.14,$49.87,$56.00,$73.47,$60.40,$77.87,$64.40,$81.87,$53.80,$62.54,$57.20,$65.94,$58.20,$66.94,$98.67,$107.61,$103.07,$112.01,$107.07,$116.01,$53.80,$62.54,$57.20,$65.94,$58.20,$66.94,$98.67,$107.61,$103.07,$112.01,$107.07,$116.01,$45.07,$53.60,$47.67,$56.20,$48.67,$57.20,$90.14,$107.21,$95.34,$112.41,$97.34,$114.41
90 m / 295.27 ft,090M,$38.60,$47.80,$33.00,$42.20,$43.00,$52.20,$58.80,$77.20,$63.20,$81.60,$67.20,$85.60,$56.60,$65.80,$60.00,$69.20,$61.00,$70.20,$103.80,$113.20,$108.20,$117.60,$112.20,$121.60,$56.60,$65.80,$60.00,$69.20,$61.00,$70.20,$103.80,$113.20,$108.20,$117.60,$112.20,$121.60,$47.40,$56.40,$50.00,$59.00,$51.00,$60.00,$94.80,$112.80,$100.00,$118.00,$102.00,$120.00
91.44 m /  300 ft,300FT,$39.18,$48.52,$33.43,$42.78,$43.58,$52.92,$59.66,$78.35,$64.06,$82.75,$68.06,$86.75,$57.46,$66.81,$60.86,$70.21,$61.86,$71.21,$105.38,$114.93,$109.78,$119.33,$113.78,$123.33,$57.46,$66.81,$60.86,$70.21,$61.86,$71.21,$105.38,$114.93,$109.78,$119.33,$113.78,$123.33,$48.12,$57.26,$50.72,$59.86,$51.72,$60.86,$96.24,$114.53,$101.44,$119.73,$103.44,$121.73
95 m /  311.67 ft,095M,$40.60,$50.30,$34.50,$44.20,$45.00,$54.70,$61.80,$81.20,$66.20,$85.60,$70.20,$89.60,$59.60,$69.30,$63.00,$72.70,$64.00,$73.70,$109.30,$119.20,$113.70,$123.60,$117.70,$127.60,$59.60,$69.30,$63.00,$72.70,$64.00,$73.70,$109.30,$119.20,$113.70,$123.60,$117.70,$127.60,$49.90,$59.40,$52.50,$62.00,$53.50,$63.00,$99.80,$118.80,$105.00,$124.00,$107.00,$126.00
99.06 m / 325 ft,325FT,$42.22,$52.33,$35.72,$45.82,$46.62,$56.73,$64.24,$84.45,$68.64,$88.85,$72.64,$92.85,$62.04,$72.14,$65.44,$75.54,$66.44,$76.54,$113.77,$124.07,$118.17,$128.47,$122.17,$132.47,$62.04,$72.14,$65.44,$75.54,$66.44,$76.54,$113.77,$124.07,$118.17,$128.47,$122.17,$132.47,$51.93,$61.84,$54.53,$64.44,$55.53,$65.44,$103.86,$123.67,$109.06,$128.87,$111.06,$130.87
100 m / 328.08 ft,100M,$42.60,$52.80,$36.00,$46.20,$47.00,$57.20,$64.80,$85.20,$69.20,$89.60,$73.20,$93.60,$62.60,$72.80,$66.00,$76.20,$67.00,$77.20,$114.80,$125.20,$119.20,$129.60,$123.20,$133.60,$62.60,$72.80,$66.00,$76.20,$67.00,$77.20,$114.80,$125.20,$119.20,$129.60,$123.20,$133.60,$52.40,$62.40,$55.00,$65.00,$56.00,$66.00,$104.80,$124.80,$110.00,$130.00,$112.00,$132.00
106.68 m / 350 ft,350FT,$45.27,$56.14,$38.00,$48.87,$49.67,$60.54,$68.81,$90.54,$73.21,$94.94,$77.21,$98.94,$66.61,$77.48,$70.01,$80.88,$71.01,$81.88,$122.15,$133.22,$126.55,$137.62,$130.55,$141.62,$66.61,$77.48,$70.01,$80.88,$71.01,$81.88,$122.15,$133.22,$126.55,$137.62,$130.55,$141.62,$55.74,$66.41,$58.34,$69.01,$59.34,$70.01,$111.48,$132.82,$116.68,$138.02,$118.68,$140.02
114.3 m / 375 ft,375FT,$48.32,$59.95,$40.29,$51.92,$52.72,$64.35,$73.38,$96.64,$77.78,$101.04,$81.78,$105.04,$71.18,$82.81,$74.58,$86.21,$75.58,$87.21,$130.53,$142.36,$134.93,$146.76,$138.93,$150.76,$71.18,$82.81,$74.58,$86.21,$75.58,$87.21,$130.53,$142.36,$134.93,$146.76,$138.93,$150.76,$59.55,$70.98,$62.15,$73.58,$63.15,$74.58,$119.10,$141.96,$124.30,$147.16,$126.30,$149.16
121.92 m / 400 ft,400FT,$51.37,$63.76,$42.58,$54.97,$55.77,$68.16,$77.95,$102.74,$82.35,$107.14,$86.35,$111.14,$75.75,$88.14,$79.15,$91.54,$80.15,$92.54,$138.91,$151.50,$143.31,$155.90,$147.31,$159.90,$75.75,$88.14,$79.15,$91.54,$80.15,$92.54,$138.91,$151.50,$143.31,$155.90,$147.31,$159.90,$63.36,$75.55,$65.96,$78.15,$66.96,$79.15,$126.72,$151.10,$131.92,$156.30,$133.92,$158.30
125 m /  410.10 ft,125M,$52.60,$65.30,$43.50,$56.20,$57.00,$69.70,$79.80,$105.20,$84.20,$109.60,$88.20,$113.60,$77.60,$90.30,$81.00,$93.70,$82.00,$94.70,$142.30,$155.20,$146.70,$159.60,$150.70,$163.60,$77.60,$90.30,$81.00,$93.70,$82.00,$94.70,$142.30,$155.20,$146.70,$159.60,$150.70,$163.60,$64.90,$77.40,$67.50,$80.00,$68.50,$81.00,$129.80,$154.80,$135.00,$160.00,$137.00,$162.00
129.54 m / 425 ft,425FT,$54.42,$67.57,$44.86,$58.02,$58.82,$71.97,$82.52,$108.83,$86.92,$113.23,$90.92,$117.23,$80.32,$93.48,$83.72,$96.88,$84.72,$97.88,$147.29,$160.65,$151.69,$165.05,$155.69,$169.05,$80.32,$93.48,$83.72,$96.88,$84.72,$97.88,$147.29,$160.65,$151.69,$165.05,$155.69,$169.05,$67.17,$80.12,$69.77,$82.72,$70.77,$83.72,$134.34,$160.25,$139.54,$165.45,$141.54,$167.45
137.16 m / 450 ft,450FT,$57.46,$71.38,$47.15,$61.06,$61.86,$75.78,$87.10,$114.93,$91.50,$119.33,$95.50,$123.33,$84.90,$98.81,$88.30,$102.21,$89.30,$103.21,$155.68,$169.79,$160.08,$174.19,$164.08,$178.19,$84.90,$98.81,$88.30,$102.21,$89.30,$103.21,$155.68,$169.79,$160.08,$174.19,$164.08,$178.19,$70.98,$84.70,$73.58,$87.30,$74.58,$88.30,$141.96,$169.39,$147.16,$174.59,$149.16,$176.59
144.78 m / 475 ft,475FT,$60.51,$75.19,$49.43,$64.11,$64.91,$79.59,$91.67,$121.02,$96.07,$125.42,$100.07,$129.42,$89.47,$104.15,$92.87,$107.55,$93.87,$108.55,$164.06,$178.94,$168.46,$183.34,$172.46,$187.34,$89.47,$104.15,$92.87,$107.55,$93.87,$108.55,$164.06,$178.94,$168.46,$183.34,$172.46,$187.34,$74.79,$89.27,$77.39,$91.87,$78.39,$92.87,$149.58,$178.54,$154.78,$183.74,$156.78,$185.74
150 m / 492.12 ft,150M,$62.60,$77.80,$51.00,$66.20,$67.00,$82.20,$94.80,$125.20,$99.20,$129.60,$103.20,$133.60,$92.60,$107.80,$96.00,$111.20,$97.00,$112.20,$169.80,$185.20,$174.20,$189.60,$178.20,$193.60,$92.60,$107.80,$96.00,$111.20,$97.00,$112.20,$169.80,$185.20,$174.20,$189.60,$178.20,$193.60,$77.40,$92.40,$80.00,$95.00,$81.00,$96.00,$154.80,$184.80,$160.00,$190.00,$162.00,$192.00
152.40 m / 500 ft,500FT,$63.56,$79.00,$51.72,$67.16,$67.96,$83.40,$96.24,$127.12,$100.64,$131.52,$104.64,$135.52,$94.04,$109.48,$97.44,$112.88,$98.44,$113.88,$172.44,$188.08,$176.84,$192.48,$180.84,$196.48,$94.04,$109.48,$97.44,$112.88,$98.44,$113.88,$172.44,$188.08,$176.84,$192.48,$180.84,$196.48,$78.60,$93.84,$81.20,$96.44,$82.20,$97.44,$157.20,$187.68,$162.40,$192.88,$164.40,$194.88
160.02 m / 525 ft,525FT,$66.61,$82.81,$54.01,$70.21,$71.01,$87.21,$100.81,$133.22,$105.21,$137.62,$109.21,$141.62,$98.61,$114.81,$102.01,$118.21,$103.01,$119.21,$180.82,$197.22,$185.22,$201.62,$189.22,$205.62,$98.61,$114.81,$102.01,$118.21,$103.01,$119.21,$180.82,$197.22,$185.22,$201.62,$189.22,$205.62,$82.41,$98.41,$85.01,$101.01,$86.01,$102.01,$164.82,$196.82,$170.02,$202.02,$172.02,$204.02
167.64 m / 550 ft,550FT,$69.66,$86.62,$56.29,$73.26,$74.06,$91.02,$105.38,$139.31,$109.78,$143.71,$113.78,$147.71,$103.18,$120.15,$106.58,$123.55,$107.58,$124.55,$189.20,$206.37,$193.60,$210.77,$197.60,$214.77,$103.18,$120.15,$106.58,$123.55,$107.58,$124.55,$189.20,$206.37,$193.60,$210.77,$197.60,$214.77,$86.22,$102.98,$88.82,$105.58,$89.82,$106.58,$172.44,$205.97,$177.64,$211.17,$179.64,$213.17
175 m / 574.14 ft,175M,$72.60,$90.30,$58.50,$76.20,$77.00,$94.70,$109.80,$145.20,$114.20,$149.60,$118.20,$153.60,$107.60,$125.30,$111.00,$128.70,$112.00,$129.70,$197.30,$215.20,$201.70,$219.60,$205.70,$223.60,$107.60,$125.30,$111.00,$128.70,$112.00,$129.70,$197.30,$215.20,$201.70,$219.60,$205.70,$223.60,$89.90,$107.40,$92.50,$110.00,$93.50,$111.00,$179.80,$214.80,$185.00,$220.00,$187.00,$222.00
182.88 m / 600 ft,600FT,$75.75,$94.24,$60.86,$79.35,$80.15,$98.64,$114.53,$151.50,$118.93,$155.90,$122.93,$159.90,$112.33,$130.82,$115.73,$134.22,$116.73,$135.22,$205.97,$224.66,$210.37,$229.06,$214.37,$233.06,$112.33,$130.82,$115.73,$134.22,$116.73,$135.22,$205.97,$224.66,$210.37,$229.06,$214.37,$233.06,$93.84,$112.13,$96.44,$114.73,$97.44,$115.73,$187.68,$224.26,$192.88,$229.46,$194.88,$231.46
200 m / 656.16 ft,200M,$82.60,$102.80,$66.00,$86.20,$87.00,$107.20,$124.80,$165.20,$129.20,$169.60,$133.20,$173.60,$122.60,$142.80,$126.00,$146.20,$127.00,$147.20,$224.80,$245.20,$229.20,$249.60,$233.20,$253.60,$122.60,$142.80,$126.00,$146.20,$127.00,$147.20,$224.80,$245.20,$229.20,$249.60,$233.20,$253.60,$102.40,$122.40,$105.00,$125.00,$106.00,$126.00,$204.80,$244.80,$210.00,$250.00,$212.00,$252.00
250 m / 820.20 ft,250M,$102.60,$127.80,$81.00,$106.20,$107.00,$132.20,$154.80,$205.20,$159.20,$209.60,$163.20,$213.60,$152.60,$177.80,$156.00,$181.20,$157.00,$182.20,$279.80,$305.20,$284.20,$309.60,$288.20,$313.60,$152.60,$177.80,$156.00,$181.20,$157.00,$182.20,$279.80,$305.20,$284.20,$309.60,$288.20,$313.60,$127.40,$152.40,$130.00,$155.00,$131.00,$156.00,$254.80,$304.80,$260.00,$310.00,$262.00,$312.00
300 m / 984.25 ft,300M,$122.60,$152.80,$96.00,$126.20,$127.00,$157.20,$184.80,$245.20,$189.20,$249.60,$193.20,$253.60,$182.60,$212.80,$186.00,$216.20,$187.00,$217.20,$334.80,$365.20,$339.20,$369.60,$343.20,$373.60,$182.60,$212.80,$186.00,$216.20,$187.00,$217.20,$334.80,$365.20,$339.20,$369.60,$343.20,$373.60,$152.40,$182.40,$155.00,$185.00,$156.00,$186.00,$304.80,$364.80,$310.00,$370.00,$312.00,$372.00
304.8 m / 1000 ft,1000FT,$124.52,$155.20,$97.44,$128.12,$128.92,$159.60,$187.68,$249.04,$192.08,$253.44,$196.08,$257.44,$185.48,$216.16,$188.88,$219.56,$189.88,$220.56,$340.08,$370.96,$344.48,$375.36,$348.48,$379.36,$185.48,$216.16,$188.88,$219.56,$189.88,$220.56,$340.08,$370.96,$344.48,$375.36,$348.48,$379.36,$154.80,$185.28,$157.40,$187.88,$158.40,$188.88,$309.60,$370.56,$314.80,$375.76,$316.80,$377.76
350 m / 1148.29 ft,350M,$142.60,$177.80,$111.00,$146.20,$147.00,$182.20,$214.80,$285.20,$219.20,$289.60,$223.20,$293.60,$212.60,$247.80,$216.00,$251.20,$217.00,$252.20,$389.80,$425.20,$394.20,$429.60,$398.20,$433.60,$212.60,$247.80,$216.00,$251.20,$217.00,$252.20,$389.80,$425.20,$394.20,$429.60,$398.20,$433.60,$177.40,$212.40,$180.00,$215.00,$181.00,$216.00,$354.80,$424.80,$360.00,$430.00,$362.00,$432.00
400 m / 1312.33 ft,400M,$162.60,$202.80,$126.00,$166.20,$167.00,$207.20,$244.80,$325.20,$249.20,$329.60,$253.20,$333.60,$242.60,$282.80,$246.00,$286.20,$247.00,$287.20,$444.80,$485.20,$449.20,$489.60,$453.20,$493.60,$242.60,$282.80,$246.00,$286.20,$247.00,$287.20,$444.80,$485.20,$449.20,$489.60,$453.20,$493.60,$202.40,$242.40,$205.00,$245.00,$206.00,$246.00,$404.80,$484.80,$410.00,$490.00,$412.00,$492.00
500 m / 1640.41 ft,500M,$202.60,$252.80,$156.00,$206.20,$207.00,$257.20,$304.80,$405.20,$309.20,$409.60,$313.20,$413.60,$302.60,$352.80,$306.00,$356.20,$307.00,$357.20,$554.80,$605.20,$559.20,$609.60,$563.20,$613.60,$302.60,$352.80,$306.00,$356.20,$307.00,$357.20,$554.80,$605.20,$559.20,$609.60,$563.20,$613.60,$252.40,$302.40,$255.00,$305.00,$256.00,$306.00,$504.80,$604.80,$510.00,$610.00,$512.00,$612.00
550 m / 1804.46 ft,550M,$222.60,$277.80,$171.00,$226.20,$227.00,$282.20,$334.80,$445.20,$339.20,$449.60,$343.20,$453.60,$332.60,$387.80,$336.00,$391.20,$337.00,$392.20,$609.80,$665.20,$614.20,$669.60,$618.20,$673.60,$332.60,$387.80,$336.00,$391.20,$337.00,$392.20,$609.80,$665.20,$614.20,$669.60,$618.20,$673.60,$277.40,$332.40,$280.00,$335.00,$281.00,$336.00,$554.80,$664.80,$560.00,$670.00,$562.00,$672.00
1000 m / 3280.83 ft,1000M,$402.60,$502.80,$306.00,$406.20,$407.00,$507.20,$604.80,$805.20,$609.20,$809.60,$613.20,$813.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 m / 6561.66 ft,2000M,$802.60,"$1,002.80",$606.00,$806.20,$807.00,"$1,007.20","$1,204.80","$1,605.20","$1,209.20","$1,609.60","$1,213.20","$1,613.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
